Id,escore
3000,236.5831681133308
3001,362.119316961905
3002,278.68684208292154
3003,218.2884698898107
3004,339.4229200971774
3005,283.4383506979697
3006,357.0144642497097
3007,312.83096799557694
3008,270.6317824046494
3009,296.22382448808577
3010,261.28640795598056
3011,316.5731744277558
3012,315.8482056427673
3013,241.30923652820528
3014,344.8838923985523
3015,349.24403399104483
3016,303.97676289487447
3017,263.15146390540417
3018,363.9993297409226
3019,234.0231744338856
3020,268.91944502252767
3021,431.03441561337456
3022,255.63527627319633
3023,299.4125206788877
3024,354.7524255951477
3025,314.6151319265527
3026,242.5885297964281
3027,269.17165789823787
3028,347.1726561381761
3029,317.52618410076246
3030,290.6918792554133
3031,354.7471085643345
3032,284.3624714433641
3033,263.4587351088943
3034,319.67081191517616
3035,339.52039214811265
3036,226.3332151537395
3037,290.0768852122612
3038,360.49891269206984
3039,274.80691858338525
3040,337.20493510074743
3041,291.9371530238907
3042,274.5111077327564
3043,242.5440788734051
3044,419.97689390175265
3045,357.1389411522605
3046,348.5235922942169
3047,340.56785348622196
3048,341.4742112422733
3049,270.2902551308014
3050,323.6554528650631
3051,284.4693285850776
3052,327.87869837192005
3053,401.86921225084103
3054,258.3772213119864
3055,329.528903233354
3056,306.18301561467786
3057,309.81658667616193
3058,291.5937126692169
3059,350.9713575783446
3060,331.2819269497564
3061,302.35369937096124
3062,352.080995038887
3063,332.18861101398187
3064,282.4391306055397
3065,325.78558340953487
3066,274.590814236612
3067,355.0757995810743
3068,286.53543099177506
3069,362.4017393112165
3070,355.049291108743
3071,247.87145067444348
3072,285.72605427063195
3073,309.5178444950789
3074,329.0488386270286
3075,240.90378398246023
3076,378.49636443130845
3077,312.3945453165767
3078,228.56725279860905
3079,479.58827528478423
3080,254.94608555920956
3081,334.31203265101266
3082,340.38653856801494
3083,289.33445217099415
3084,333.44412795421687
3085,413.5572056883837
3086,299.9495008289634
3087,233.8338262264568
3088,346.54073136862337
3089,331.2961688890518
3090,360.6884214141995
3091,324.764656685281
3092,375.3617619736829
3093,256.0526409298928
3094,258.5124748233131
3095,273.142681693298
3096,326.3090850382362
3097,269.5630909926881
3098,254.19753411934147
3099,253.2645751372479
3100,241.67916522604605
3101,333.3466142969237
3102,335.4188435912254
3103,344.7796361420627
3104,346.97531716989596
3105,339.27586723309116
3106,319.3239901782075
3107,274.81606116978463
3108,263.06426680869384
3109,268.50629249402994
3110,303.39074413691696
3111,418.22656815072247
3112,364.6624419858187
3113,260.01828236568315
3114,347.4257153397166
3115,270.8529072280158
3116,389.4083580226256
3117,411.9508822755135
3118,290.82197831934377
3119,294.790152076472
3120,296.73760011205616
3121,391.8890607606495
3122,292.90658806936045
3123,355.0287654182826
3124,310.28124645288403
3125,343.9727533924584
3126,243.16199918017472
3127,277.56847719375867
3128,281.5402568216463
3129,338.47816881797837
3130,319.1380287040581
3131,273.5098349029195
3132,357.58359039905065
3133,325.1081659353273
3134,365.4961129840675
3135,251.81519347919468
3136,240.12065617052446
3137,331.93040942263053
3138,322.59559467608085
3139,265.0885669178518
3140,238.87527627449145
3141,240.1548507622119
3142,280.0765251662056
3143,376.2653890493154
3144,343.85679858412163
3145,360.62226632284205
3146,309.8725604959262
3147,263.7218560517704
3148,273.7714635411974
3149,356.2718462423993
3150,227.67330643134872
3151,347.18621111214765
3152,316.31320579959635
3153,323.8802633333123
3154,325.1396792693885
