Id,salario,grau_escolaridade,idade,experiência,estado_civil,escore
0,5117.077898400471,pós-graduação,62,28.99216767322809,separado,350.19425338637984
1,9934.71589360931,médio completo,65,43.19747354324824,viúvo,347.0573249281256
2,2922.699741857906,fund. completo,18,0.0,divorciado,203.99048347448115
3,1562.2264087958245,fund. incompleto,21,1.6174550830939078,divorciado,195.42964114496772
4,2460.48653674967,médio incompleto,21,2.962123812374207,união estável formal,235.84158537245617
5,5858.293213515539,fund. incompleto,57,38.577330801277654,divorciado,292.77267791958144
6,9712.243944409935,médio incompleto,27,7.973326623484928,união estável formal,365.691490529866
7,2469.5333675827196,superior incompleto,37,16.707579159490795,solteiro,305.09328902442235
8,10219.955126712348,superior completo,39,20.999728411673033,viúvo,417.5722157178967
9,4589.495906747956,fund. completo,68,40.14585779398626,divorciado,260.4548877256956
10,5804.057316649423,pós-graduação,54,33.37562945255175,união estável informal,381.9956944363046
11,3981.7196036944474,superior incompleto,41,18.59593340752416,união estável informal,304.7448658597785
12,3986.9745696075124,médio incompleto,24,1.406291480520557,união estável formal,260.7745993849889
13,2232.3189282938256,superior incompleto,42,23.11283200171863,separado,316.50455007092825
14,2210.8416215504926,fund. completo,42,23.969904561879247,casado,262.1994051455369
15,4301.428241112468,médio completo,30,11.894303812350099,viúvo,303.15128589389457
16,1492.9502933654562,fund. completo,19,0.9711962552012477,divorciado,214.72443473954223
17,2534.6321154161606,pós-graduação,56,13.536110798804168,união estável informal,286.048927367522
18,6888.977059925392,médio completo,57,32.5440830035293,união estável formal,336.5056366198289
19,3546.542226613721,superior incompleto,41,0.3376713083420858,separado,272.963925288965
20,4581.883619090677,superior incompleto,64,44.93478134140651,separado,305.5564634865284
21,6172.632633923502,pós-graduação,42,23.99220905897926,separado,384.88347711683286
22,3315.520137861232,fund. completo,35,16.535524827419376,divorciado,293.25969344957485
23,2124.902713003537,fund. completo,55,0.8158908345610523,viúvo,222.9582955489804
24,3161.652525030956,superior completo,43,14.741583492406695,solteiro,331.08879381309754
25,1878.2020927563397,médio incompleto,31,3.0392053157254013,união estável formal,247.50795476807724
26,6844.0862939415365,médio incompleto,26,6.316159891341561,casado,325.57315703967015
27,6783.150283459625,fund. incompleto,27,8.812085023509479,divorciado,299.4227930700498
28,4321.905837045531,pós-graduação,38,2.61141977325803,solteiro,334.7750823230587
29,5814.860603670086,pós-graduação,69,50.38628541178701,união estável formal,340.12323530030153
30,2965.463070278176,médio completo,34,14.998004690262473,viúvo,298.8522276618447
31,5090.735815489788,fund. incompleto,69,49.71205784274386,união estável formal,266.58588183870086
32,1870.1276163781797,fund. completo,23,3.6679125303030413,união estável formal,215.7684430885916
33,7093.388259962882,superior completo,33,13.904404047100364,união estável informal,368.888858507382
34,9411.488335316508,pós-graduação,65,5.792052795875637,casado,380.82186052212654
35,1950.068658127987,fund. incompleto,18,0.0,casado,191.19583148775877
36,4231.988934388213,médio completo,36,17.983615533530575,divorciado,311.6124078725453
37,6135.25486289512,pós-graduação,53,6.998613201368236,casado,354.9570385907801
38,5248.406234404367,médio completo,42,11.804112495025954,união estável formal,307.83378863173294
39,3186.080821101338,fund. incompleto,67,31.2885798089127,viúvo,260.2502938516862
40,9851.050277178101,pós-graduação,69,48.564872716118565,separado,406.42108521772843
41,3092.4770233850354,médio incompleto,47,19.89927211391476,casado,299.0830895421352
42,2285.2341045507237,fund. completo,37,8.877677392862891,solteiro,256.8443759037528
43,1783.924145030751,médio incompleto,37,8.119359836459108,viúvo,262.453872013695
44,4282.391501235165,médio completo,32,6.6756278563319205,viúvo,301.07829833266106
45,6515.585613961748,fund. incompleto,57,37.721765351376625,divorciado,283.8652192013601
46,3716.7965436604813,superior incompleto,50,31.797345310407017,casado,319.0267975250742
